"Correlation matrix (Pearson):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Variables","n","m","parallel_edges","m_unique","avg_degree","avg_degree_centrality","avg_in_degree_centrality","avg_out_degree_centrality","max_degree","max_degree_centrality","max_in_degree","max_in_degree_centrality","max_out_degree","max_out_degree_centrality","h_index_d","h_index_u","fill","fill_overall","reciprocity","max_pagerank","pseudo_diameter","powerlaw_exponent_degree","powerlaw_exponent_degree_dmin","powerlaw_exponent_in_degree","powerlaw_exponent_in_degree_dmin","stddev_in_degree","stddev_out_degree","coefficient_variation_in_degree","coefficient_variation_out_degree","var_in_degree","var_out_degree","centralization_in_degree","centralization_out_degree"
"max_out_degree_centrality","0,679","0,416","0,001","0,573","0,034","< 0,0001","< 0,0001","< 0,0001","0,195","< 0,0001","0,211","0,061","0,008",0,"0,991","0,226","< 0,0001","< 0,0001","0,944","0,912","0,028","0,572","0,977","0,059","0,711","0,041","< 0,0001","0,521","< 0,0001","0,001","< 0,0001","0,070","< 0,0001"
"h_index_d","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,044","0,044","0,044","< 0,0001","0,001","< 0,0001","0,000","< 0,0001","0,991",0,"< 0,0001","0,028","0,043","0,907","0,460","0,136","0,165","< 0,0001","0,178","0,010","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,000","0,990"
"h_index_u","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,058","0,058","0,058","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,226","< 0,0001",0,"0,039","0,057","0,954","0,485","0,120","0,155","< 0,0001","0,258","0,032","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,219"
"fill","0,251","0,213","0,495","0,225","0,088","< 0,0001","< 0,0001","< 0,0001","0,280","0,386","0,285","0,198","0,526","< 0,0001","0,028","0,039",0,"< 0,0001","0,076","0,534","0,324","0,222","0,613","0,549","0,672","0,094","0,272","0,018","0,184","0,563","0,573","0,167","< 0,0001"
"fill_overall","0,291","0,252","0,530","0,264","0,197","< 0,0001","< 0,0001","< 0,0001","0,320","0,026","0,325","0,444","0,560","< 0,0001","0,043","0,057","< 0,0001",0,"0,087","0,586","0,310","0,269","0,642","0,225","0,698","0,122","0,328","0,029","0,236","0,594","0,605","0,385","< 0,0001"
"reciprocity","0,853","0,879","0,840","0,926","0,322","0,089","0,089","0,089","0,624","0,388","0,611","0,260","0,948","0,944","0,907","0,954","0,076","0,087",0,"0,803","0,542","0,049","0,593","0,270","0,612","0,606","0,984","0,435","0,775","0,556","0,875","0,265","0,958"
"max_pagerank","0,681","0,619","0,736","0,651","0,433","0,587","0,587","0,587","0,884","0,039","0,897","0,032","0,719","0,912","0,460","0,485","0,534","0,586","0,803",0,"0,844","< 0,0001","0,825","0,953","0,971","0,974","0,800","0,076","0,711","0,820","0,768","0,032","0,916"
"pseudo_diameter","0,198","0,167","0,454","0,178","< 0,0001","0,311","0,311","0,311","0,236","< 0,0001","0,242","< 0,0001","0,475","0,028","0,136","0,120","0,324","0,310","0,542","0,844",0,"0,183","0,581","0,273","0,641","0,172","0,195","0,027","0,080","0,533","0,534","< 0,0001","0,029"
"powerlaw_exponent_degree","0,238","0,261","0,423","0,313","0,291","0,272","0,272","0,272","0,384","0,917","0,394","0,974","0,474","0,572","0,165","0,155","0,222","0,269","0,049","< 0,0001","0,183",0,"0,518","0,005","0,757","0,853","0,609","0,901","0,927","0,687","0,532","0,969","0,562"
"powerlaw_exponent_degree_dmin","0,486","0,001","0,025","0,003","< 0,0001","0,643","0,643","0,643","0,009","0,006","0,008","0,004","0,537","0,977","< 0,0001","< 0,0001","0,613","0,642","0,593","0,825","0,581","0,518",0,"0,729","< 0,0001","< 0,0001","0,228","0,020","0,940","< 0,0001","0,147","0,004","0,981"
